"movieId","movieTitle","movieYear","movieURL","critic_score","audience_score"
"6da4d992-97ca-3acc-834c-37c1ad34872c","Singin' in the Rain",1952,"https://www.rottentomatoes.com/m/singin_in_the_rain","100%","95%"
"56b1624a-1ceb-3598-8ee2-62236554094a","Top Hat",1935,"https://www.rottentomatoes.com/m/top_hat","100%","90%"
"718dd15b-50ee-3090-84c7-13244b587b00","Meet Me in St. Louis",1944,"https://www.rottentomatoes.com/m/meet_me_in_st_louis","100%","87%"
"80f30474-3ac3-36c7-a43b-648d1a627432","The Wizard of Oz",1939,"https://www.rottentomatoes.com/m/the_wizard_of_oz_1939","98%","89%"
"54438ade-99ad-3043-801b-8ac09597be3a","A Hard Day's Night",1964,"https://www.rottentomatoes.com/m/beatles_a_hard_days_night","98%","89%"
"f0d7c68d-0619-347c-b4c8-f096af61fa5e","Gentlemen Prefer Blondes",1953,"https://www.rottentomatoes.com/m/gentlemen_prefer_blondes","88%","83%"
"47b9bd39-7a0f-36cc-a9d7-e60a1100c242","A Star Is Born",1954,"https://www.rottentomatoes.com/m/1019829-star_is_born","98%","81%"
"4c6d2b7b-ab98-3a0a-ab90-b21bf797b103","The Young Girls of Rochefort",1967,"https://www.rottentomatoes.com/m/the_young_girls_of_rochefort","98%","84%"
"bd259d46-a8a4-3ec7-8cd1-41b5b20102ee","The Umbrellas of Cherbourg",1964,"https://www.rottentomatoes.com/m/the_umbrellas_of_cherbourg_1964","97%","87%"
"a95d96f1-2f24-3697-a914-8882583ef03c","Once",2007,"https://www.rottentomatoes.com/m/once","97%","91%"
"eb6b7381-1511-3c4a-9067-7bbf355a7094","A Night at the Opera",1935,"https://www.rottentomatoes.com/m/1015002-night_at_the_opera","97%","90%"
"dce7b922-a512-3803-beb8-88a91b036131","An American in Paris",1951,"https://www.rottentomatoes.com/m/american_in_paris","95%","79%"
"a308faa6-c764-3c5d-b808-d8753280d577","Mary Poppins",1964,"https://www.rottentomatoes.com/m/mary_poppins","97%","86%"
"f47dc366-2c75-3e23-92e6-aab727e79ba9","The Muppets",2011,"https://www.rottentomatoes.com/m/the_muppets","95%","80%"
"1655d908-6680-3030-a880-374dec2822f8","Sing Street",2016,"https://www.rottentomatoes.com/m/sing_street","95%","92%"
"151caaa1-b5c4-38fe-9260-5574698a1be3","Lagaan: Once Upon a Time in India",2001,"https://www.rottentomatoes.com/m/lagaan_once_upon_a_time_in_india","95%","93%"
"49418f83-762f-439c-9152-3d2407529792","In the Heights",2021,"https://www.rottentomatoes.com/m/in_the_heights_2021","94%","94%"
"b1a5dac4-4ffe-3382-8037-b2856790bcb7","Funny Girl",1968,"https://www.rottentomatoes.com/m/funny_girl","94%","85%"
"1c40b172-f646-3e8b-b891-ee05d977271c","My Fair Lady",1964,"https://www.rottentomatoes.com/m/my_fair_lady","95%","90%"
"a3c857f4-5d3e-3acd-9fb8-17f3030a5445","Enchanted",2007,"https://www.rottentomatoes.com/m/enchanted","93%","80%"
"91a68f9f-281b-39b0-a2de-39c59527515d","Cabaret",1972,"https://www.rottentomatoes.com/m/cabaret","92%","87%"
"5279aac5-fb2f-3b1d-baf9-cc079f9c83da","West Side Story",1961,"https://www.rottentomatoes.com/m/west_side_story","92%","84%"
"c687b769-4fcd-347b-afbf-7baa949782b8","Hairspray",2007,"https://www.rottentomatoes.com/m/hairspray","92%","84%"
"c86912c4-1890-3f52-9e16-0af8ac279546","Hedwig and the Angry Inch",2001,"https://www.rottentomatoes.com/m/hedwig_and_the_angry_inch","92%","93%"
"4b4bc6e0-c5b2-3ea3-94c4-9d32b43430df","La La Land",2016,"https://www.rottentomatoes.com/m/la_la_land","91%","81%"
"9cab271d-5782-3b51-a835-3163e38deff7","West Side Story",2021,"https://www.rottentomatoes.com/m/west_side_story_2021","92%","93%"
"f0b9146c-b0f3-3175-913b-957e219fa996","The Sapphires",2012,"https://www.rottentomatoes.com/m/the_sapphires_2012","91%","76%"
"875cd3ea-7645-30c1-996c-338d3a1e10a3","Willy Wonka and the Chocolate Factory",1971,"https://www.rottentomatoes.com/m/willy_wonka_and_the_chocolate_factory","92%","87%"
"6641ae17-bf8e-3fbb-97b1-b9677c69b651","Roald Dahl's Matilda the Musical",2022,"https://www.rottentomatoes.com/m/roald_dahls_matilda_the_musical","93%","72%"
